t_o r_p l_p r_v l_v
368756 4 5 0 0
368766 4 5 0 0
368776 4 5 0 0
368786 4 5 0 0
368796 4 5 0 0
368806 4 5 0 0
368816 4 5 0 0
368826 4 5 0 0
368836 4 5 0 0
368846 4 5 0 0
368856 4 5 0 0
368866 4 5 0 0
368876 4 5 0 0
368886 4 5 0 0
368896 4 5 0 0
368906 4 5 0 0
368916 4 5 0 0
368926 4 5 0 0
368936 4 5 0 0
368946 4 5 0 0
368956 4 5 0 0
368966 4 5 0 0
368976 4 5 0 0
368986 4 5 0 0
368996 4 5 0 0
369006 4 5 0 0
369016 4 5 0 0
369026 4 5 0 0
369036 4 5 0 0
369046 4 5 0 0
369056 4 5 0 0
369066 4 5 0 0
369076 4 5 0 0
369086 4 5 0 0
369096 4 5 0 0
369106 4 5 0 0
369116 4 5 0 0
369126 4 5 0 0
369136 4 5 0 0
369146 4 5 0 0
369156 4 5 0 0
369166 4 5 0 0
369176 4 5 0 0
369186 4 5 0 0
369196 4 5 0 0
369206 4 5 0 0
369216 4 5 0 0
369226 4 5 0 0
369236 4 5 0 0
369246 4 5 0 0
369256 4 5 0 0
369266 4 5 0 0
369276 4 5 0 0
369286 4 5 0 0
369296 4 5 0 0
369306 4 5 0 0
369316 4 5 0 0
369326 4 5 0 0
369336 4 5 0 0
369346 4 5 0 0
369356 4 5 0 0
369366 4 5 0 0
369376 4 5 0 0
369386 4 5 0 0
369396 4 5 0 0
369406 4 5 0 0
369416 4 5 0 0
369426 4 5 0 0
369436 4 5 0 0
369446 4 5 0 0
369456 4 5 0 0
369466 4 5 0 0
369476 4 5 0 0
369486 4 5 0 0
369496 4 5 0 0
369506 4 5 0 0
369516 4 5 0 0
369526 4 5 0 0
369536 4 5 0 0
369546 4 5 0 0
369556 4 5 0 0
369567 4 5 0 0
369577 4 5 0 0
369587 4 5 0 0
369597 4 5 0 0
369607 4 5 0 0
369617 4 5 0 0
369626 4 5 0 0
369636 4 5 0 0
369646 4 5 0 0
369656 4 5 0 0
369666 4 5 0 0
369676 4 5 0 0
369686 4 5 0 0
369696 4 5 0 0
369706 4 5 0 0
369716 4 5 0 0
369726 4 5 0 0
369736 4 5 0 0
369746 4 5 0 0
369756 4 5 0 0
369766 4 5 0 0
369776 4 5 0 0
369786 4 5 0 0
369796 4 5 0 0
369806 4 5 0 0
369816 4 5 0 0
369826 4 5 0 0
369836 4 5 0 0
369846 4 5 0 0
369856 4 5 0 0
369866 4 5 0 0
369876 4 5 0 0
369886 4 5 0 0
369896 4 5 0 0
369906 4 5 0 0
369916 4 5 0 0
369926 4 5 0 0
369936 4 5 0 0
369946 4 5 0 0
369956 4 5 0 0
369966 4 5 0 0
369976 4 5 0 0
369986 4 5 0 0
369996 4 5 0 0
370006 4 5 0 0
370016 4 5 0 0
370026 4 5 0 0
370036 4 5 0 0
370046 4 5 0 0
370056 4 5 0 0
370066 4 5 0 0
370076 4 5 0 0
370086 4 5 0 0
370096 4 5 0 0
370106 4 5 0 0
370116 4 5 0 0
370126 4 5 0 0
370136 4 5 0 0
370146 4 5 0 0
370156 4 5 0 0
370166 4 5 0 0
370176 4 5 0 0
370186 4 5 0 0
370196 4 5 0 0
370206 4 5 0 0
370216 4 5 0 0
370226 4 5 0 0
370236 4 5 0 0
370246 4 5 0 0
370256 4 5 0 0
370266 4 5 0 0
370276 4 5 0 0
370286 4 5 0 0
370296 4 5 0 0
370306 4 5 0 0
370316 4 5 0 0
370326 4 5 0 0
370336 4 5 0 0
370346 4 5 0 0
370356 4 5 0 0
370366 4 5 0 0
370376 4 5 0 0
370386 4 5 0 0
370396 4 5 0 0
370406 4 5 0 0
370416 4 5 0 0
370426 4 5 0 0
370436 4 5 0 0
370446 4 5 0 0
370456 4 5 0 0
370466 4 5 0 0
370476 4 5 0 0
370486 4 5 0 0
370496 4 5 0 0
370506 4 5 0 0
370516 4 5 0 0
370526 4 5 0 0
370536 4 5 0 0
370546 4 5 0 0
370556 4 5 0 0
370566 4 5 0 0
370576 4 5 0 0
370586 4 5 0 0
370596 4 5 0 0
370606 4 5 0 0
370616 4 5 0 0
370626 4 5 0 0
370636 4 5 0 0
370646 4 5 0 0
370656 4 5 0 0
370666 4 5 0 0
370676 4 5 0 0
370686 4 5 0 0
370696 4 5 0 0
370706 4 5 0 0
370716 4 5 0 0
370726 4 5 0 0
370736 4 5 0 0
370746 4 5 0 0
370756 4 5 0 0
370766 4 5 0 0
370776 4 5 0 0
370786 4 5 0 0
370796 4 5 0 0
370806 4 5 0 0
370816 4 5 0 0
370826 4 5 0 0
370836 4 5 0 0
370846 4 5 0 0
370856 4 5 0 0
370866 4 5 0 0
370876 4 5 0 0
370886 4 5 0 0
370896 4 5 0 0
370906 4 5 0 0
370916 4 5 0 0
370926 4 5 0 0
370936 4 5 0 0
370946 4 5 0 0
370956 4 5 0 0
370966 4 5 0 0
370976 4 5 0 0
370986 4 5 0 0
370996 4 5 0 0
371006 4 5 0 0
371016 4 5 0 0
371026 4 5 0 0
371036 4 5 0 0
371046 4 5 0 0
371056 4 5 0 0
371066 4 5 0 0
371076 4 5 0 0
371086 4 5 0 0
371096 4 5 0 0
371106 4 5 0 0
371116 4 5 0 0
371126 4 5 0 0
371136 4 5 0 0
371146 4 5 0 0
371156 4 5 0 0
371166 4 5 0 0
371177 4 5 0 0
371187 4 5 0 0
371197 4 5 0 0
371207 4 5 0 0
371217 4 5 0 0
371227 4 5 0 0
371236 4 5 0 0
371246 4 5 0 0
371256 4 5 0 0
371266 4 5 0 0
371276 4 5 0 0
371286 4 5 0 0
371296 4 5 0 0
371306 4 5 0 0
371316 4 5 0 0
371326 4 5 0 0
