t_f px py fd
367746 -679 657 272
367756 -679 657 275
367766 -679 657 268
367776 -679 657 278
367786 -679 657 274
367796 -679 657 271
367806 -679 657 274
367816 -679 657 271
367826 -679 657 272
367836 -679 657 272
367846 -679 657 273
367856 -679 657 275
367866 -679 657 276
367876 -679 657 273
367886 -679 657 273
367896 -679 657 277
367906 -679 657 272
367916 -679 657 269
367926 -679 657 274
367936 -679 657 271
367946 -679 657 276
367956 -679 657 269
367967 -679 657 269
367977 -679 657 278
367987 -679 657 275
367997 -679 657 271
368007 -679 657 274
368016 -679 657 272
368026 -679 657 270
368036 -679 657 279
368046 -679 657 274
368056 -679 657 273
368066 -679 657 278
368076 -679 657 271
368086 -679 657 275
368096 -679 657 268
368106 -679 657 277
368116 -679 657 263
368126 -679 657 265
368136 -679 657 272
368146 -679 657 267
368156 -679 657 270
368166 -679 657 270
368176 -679 657 270
368186 -679 657 275
368196 -679 657 276
368206 -679 657 268
368216 -679 657 275
368226 -679 657 266
368236 -679 657 274
368246 -679 657 278
368256 -679 657 273
368266 -679 657 273
368276 -679 657 273
368286 -679 657 273
368296 -679 657 273
368306 -679 657 264
368316 -679 657 265
368326 -679 657 268
368336 -679 657 270
368346 -679 657 265
368356 -679 657 269
368366 -679 657 268
368376 -679 657 273
368386 -679 657 268
368396 -679 657 266
368406 -679 657 272
368416 -679 657 269
368426 -679 657 268
368436 -679 657 276
368446 -679 657 273
368456 -679 657 272
368466 -679 657 275
368476 -679 657 266
368486 -679 657 268
368496 -679 657 272
368506 -679 657 265
368516 -679 657 269
368526 -679 657 266
368536 -679 657 272
368546 -679 657 268
368556 -679 657 275
368566 -679 657 265
368576 -679 657 274
368586 -679 657 278
368596 -679 657 274
368606 -679 657 267
368616 -679 657 270
368626 -679 657 271
368636 -679 657 271
368646 -679 657 278
368656 -679 657 269
368666 -679 657 269
368676 -679 657 273
368686 -679 657 267
368696 -679 657 276
368706 -679 657 273
368716 -679 657 270
368726 -679 657 268
368736 -679 657 270
368746 -679 657 272
368756 -679 657 269
368766 -679 657 275
368776 -679 657 267
368786 -679 657 266
368796 -679 657 277
368806 -679 657 271
368816 -679 657 269
368826 -679 657 271
368836 -679 657 270
368846 -679 657 276
368856 -679 657 273
368866 -679 657 264
368876 -679 657 261
368886 -679 657 263
368896 -679 657 271
368906 -679 657 269
368916 -679 657 272
368926 -679 657 269
368936 -679 657 271
368946 -679 657 269
368956 -679 657 270
368966 -679 657 266
368976 -679 657 270
368986 -679 657 266
368996 -679 657 272
369006 -679 657 265
369016 -679 657 269
369026 -679 657 266
369036 -679 657 271
369046 -679 657 278
369056 -679 657 268
369066 -679 657 269
369076 -679 657 274
369086 -679 657 269
369096 -679 657 269
369106 -679 657 265
369116 -679 657 265
369126 -679 657 265
369136 -679 657 270
369146 -679 657 270
369156 -679 657 272
369166 -679 657 270
369176 -679 657 273
369186 -679 657 275
369196 -679 657 278
369206 -679 657 267
369216 -679 657 272
369226 -679 657 277
369236 -679 657 271
369246 -679 657 268
369256 -679 657 271
369266 -679 657 271
369276 -679 657 266
369286 -679 657 267
369296 -679 657 269
369306 -679 657 274
369316 -679 657 267
369326 -679 657 268
369336 -679 657 277
369346 -679 657 268
369356 -679 657 269
369366 -679 657 274
369376 -679 657 272
369386 -679 657 265
369396 -679 657 271
369406 -679 657 271
369416 -679 657 272
369426 -679 657 273
369436 -679 657 270
369446 -679 657 268
369456 -679 657 271
369466 -679 657 268
369476 -679 657 267
369486 -679 657 268
369496 -679 657 271
369506 -679 657 270
369516 -679 657 271
369526 -679 657 274
369536 -679 657 272
369546 -679 657 275
369556 -679 657 269
369567 -679 657 270
369577 -679 657 266
369587 -679 657 267
369597 -679 657 267
369607 -679 657 267
369617 -679 657 274
369626 -679 657 271
369636 -679 657 267
369646 -679 657 256
369656 -679 657 266
369666 -679 657 270
369676 -679 657 270
369686 -679 657 276
369696 -679 657 265
369706 -679 657 267
369716 -679 657 270
369726 -679 657 273
369736 -679 657 269
369746 -679 657 277
369756 -679 657 267
369766 -679 657 264
369776 -679 657 272
369786 -679 657 268
369796 -679 657 269
369806 -679 657 270
369816 -679 657 263
369826 -679 657 272
369836 -679 657 270
369846 -679 657 270
369856 -679 657 268
369866 -679 657 268
369876 -679 657 266
369886 -679 657 273
369896 -679 657 269
369906 -679 657 265
369916 -679 657 268
369926 -679 657 268
369936 -679 657 268
369946 -679 657 270
369956 -679 657 274
369966 -679 657 266
369976 -679 657 267
369986 -679 657 272
369996 -679 657 275
370006 -679 657 275
370016 -679 657 277
370026 -679 657 263
370036 -679 657 266
370046 -679 657 272
370056 -679 657 269
370066 -679 657 271
370076 -679 657 275
370086 -679 657 263
370096 -679 657 273
370106 -679 657 277
370116 -679 657 268
370126 -679 657 266
370136 -679 657 262
370146 -679 657 268
370156 -679 657 274
370166 -679 657 262
370176 -679 657 264
370186 -679 657 262
370196 -679 657 264
370206 -679 657 272
370216 -679 657 273
370226 -679 657 269
370236 -679 657 269
370246 -679 657 262
370256 -679 657 278
370266 -679 657 258
370276 -679 657 269
370286 -679 657 259
370296 -679 657 267
370306 -679 657 271
370316 -679 657 266
370326 -679 657 263
370336 -679 657 271
370346 -679 657 270
370356 -679 657 269
370366 -679 657 270
370376 -679 657 268
370386 -679 657 267
370396 -679 657 267
370406 -679 657 269
370416 -679 657 266
370426 -679 657 267
370436 -679 657 271
370446 -679 657 269
370456 -679 657 266
370466 -679 657 269
370476 -679 657 271
370486 -679 657 275
370496 -679 657 275
370506 -679 657 269
370516 -679 657 266
370526 -679 657 264
370536 -679 657 273
370546 -679 657 270
370556 -679 657 270
370566 -679 657 274
370576 -679 657 273
370586 -679 657 265
370596 -679 657 271
370606 -679 657 266
370616 -679 657 263
370626 -679 657 266
370636 -679 657 272
370646 -679 657 275
370656 -679 657 268
370666 -679 657 266
370676 -679 657 269
370686 -679 657 269
370696 -679 657 268
370706 -679 657 269
370716 -679 657 270
370726 -679 657 269
370736 -679 657 271
370746 -679 657 266
370756 -679 657 273
370766 -679 657 267
370776 -679 657 272
370786 -679 657 265
370796 -679 657 268
370806 -679 657 268
370816 -679 657 274
370826 -679 657 266
370836 -679 657 265
370846 -679 657 271
370856 -679 657 267
370866 -679 657 267
370876 -679 657 272
370886 -679 657 271
370896 -679 657 259
370906 -679 657 276
370916 -679 657 274
370926 -679 657 273
370936 -679 657 265
370946 -679 657 264
370956 -679 657 273
370966 -679 657 267
370976 -679 657 273
370986 -679 657 270
370996 -679 657 268
371006 -679 657 270
371016 -679 657 269
371026 -679 657 273
371036 -679 657 270
371046 -679 657 264
371056 -679 657 271
371066 -679 657 265
371076 -679 657 262
371086 -679 657 268
371096 -679 657 269
371106 -679 657 271
371116 -679 657 274
371126 -679 657 270
371136 -679 657 278
371146 -679 657 273
371156 -679 657 265
371166 -679 657 273
371177 -679 657 266
371187 -679 657 271
371197 -679 657 277
371207 -679 657 270
371217 -679 657 269
371227 -679 657 269
371236 -679 657 270
371246 -679 657 276
371256 -679 657 262
371266 -679 657 268
371276 -679 657 271
371286 -679 657 272
371296 -679 657 266
371306 -679 657 261
371316 -679 657 272
371326 -679 657 269
371336 -679 657 267
371346 -679 657 267
371356 -679 657 270
371366 -679 657 269
371376 -679 657 268
371386 -679 657 264
371396 -679 657 271
371406 -679 657 271
371416 -679 657 269
371426 -679 657 273
371436 -679 657 271
371446 -679 657 277
371456 -679 657 267
371466 -679 657 268
371476 -679 657 280
371486 -679 657 265
371496 -679 657 272
371506 -679 657 269
371516 -679 657 277
371526 -679 657 264
371536 -679 657 267
371546 -679 657 273
371556 -679 657 271
371566 -679 657 269
371576 -679 657 270
371586 -679 657 273
371596 -679 657 265
371606 -679 657 269
371616 -679 657 268
371626 -679 657 268
371636 -679 657 269
371646 -679 657 274
371656 -679 657 265
371666 -679 657 270
371676 -679 657 276
371686 -679 657 276
371696 -679 657 264
371706 -679 657 274
371716 -679 657 270
371726 -679 657 273
371736 -679 657 268
371746 -679 657 268
371756 -679 657 271
371766 -679 657 268
371776 -679 657 274
371786 -679 657 269
371796 -679 657 271
371806 -679 657 274
371816 -679 657 265
371826 -679 657 274
371836 -679 657 274
371846 -679 657 274
371856 -679 657 272
371866 -679 657 275
371876 -679 657 267
371886 -679 657 271
371896 -679 657 270
371906 -679 657 270
371916 -679 657 268
371926 -679 657 276
371936 -679 657 267
371946 -679 657 268
371956 -679 657 270
371966 -679 657 265
371976 -679 657 272
371986 -679 657 271
371996 -679 657 273
372006 -679 657 274
372016 -679 657 272
372026 -679 657 264
372036 -679 657 264
372046 -679 657 270
372056 -679 657 274
372066 -679 657 272
372076 -679 657 269
372086 -679 657 265
372096 -679 657 273
372106 -679 657 271
372116 -679 657 267
372126 -679 657 270
372136 -679 657 267
372146 -679 657 271
372156 -679 657 274
372166 -679 657 270
372176 -679 657 268
372186 -679 657 273
372196 -679 657 272
372206 -679 657 273
372216 -679 657 277
