t pos_x pos_y free_degree
1878816 -2160 -67050 216
1878826 -2160 -67050 216
1878836 -2160 -67050 213
1878846 -2160 -67050 221
1878856 -2160 -67050 205
1878866 -2160 -67050 214
1878876 -2160 -67050 212
1878886 -2160 -67050 214
1878896 -2160 -67050 219
1878906 -2160 -67050 208
1878916 -2160 -67050 206
1878926 -2160 -67050 205
1878936 -2160 -67050 208
1878946 -2160 -67050 214
1878956 -2160 -67050 216
1878966 -2160 -67050 214
1878976 -2160 -67050 209
1878986 -2160 -67050 208
1878996 -2160 -67050 213
1879006 -2160 -67050 218
1879016 -2160 -67050 217
1879026 -2160 -67050 210
1879036 -2160 -67050 211
1879046 -2160 -67050 214
1879056 -2160 -67050 207
1879066 -2160 -67050 216
1879076 -2160 -67050 215
1879086 -2160 -67050 213
1879096 -2160 -67050 209
1879106 -2160 -67050 214
1879116 -2160 -67050 211
1879126 -2160 -67050 219
1879136 -2160 -67050 215
1879146 -2160 -67050 208
1879156 -2160 -67050 217
1879166 -2160 -67050 210
1879176 -2160 -67050 210
1879186 -2160 -67050 210
1879196 -2160 -67050 215
1879206 -2160 -67050 215
1879216 -2160 -67050 204
1879226 -2160 -67050 211
1879236 -2160 -67050 216
1879246 -2160 -67050 212
1879256 -2160 -67050 213
1879266 -2160 -67050 203
1879276 -2160 -67050 211
1879286 -2160 -67050 217
1879296 -2160 -67050 210
1879306 -2160 -67050 209
1879316 -2160 -67050 213
1879326 -2160 -67050 212
1879336 -2160 -67050 219
1879346 -2160 -67050 211
1879356 -2160 -67050 210
1879366 -2160 -67050 212
1879376 -2160 -67050 205
1879386 -2160 -67050 212
1879396 -2160 -67050 215
1879406 -2160 -67050 209
1879416 -2160 -67050 210
1879426 -2160 -67050 212
1879436 -2160 -67050 213
1879446 -2160 -67050 217
1879456 -2160 -67050 216
1879466 -2160 -67050 217
1879476 -2160 -67050 210
1879486 -2160 -67050 209
1879496 -2160 -67050 210
1879506 -2160 -67050 209
1879516 -2160 -67050 216
1879526 -2160 -67050 213
1879536 -2160 -67050 213
1879546 -2160 -67050 209
1879556 -2160 -67050 208
1879566 -2160 -67050 217
1879576 -2160 -67050 210
1879586 -2160 -67050 211
1879596 -2160 -67050 211
1879606 -2160 -67050 210
1879616 -2160 -67050 217
1879626 -2160 -67050 216
1879636 -2160 -67050 211
1879646 -2160 -67050 211
1879656 -2160 -67050 208
1879666 -2160 -67050 212
1879676 -2160 -67050 218
1879686 -2160 -67050 207
1879696 -2160 -67050 208
1879706 -2160 -67050 218
1879716 -2160 -67050 208
1879726 -2160 -67050 208
1879736 -2160 -67050 210
1879746 -2160 -67050 215
1879756 -2160 -67050 214
1879766 -2160 -67050 210
1879776 -2160 -67050 214
1879786 -2160 -67050 216
1879796 -2160 -67050 213
1879806 -2160 -67050 213
1879816 -2160 -67050 207
1879826 -2160 -67050 209
1879836 -2160 -67050 209
1879846 -2160 -67050 211
1879856 -2160 -67050 214
1879866 -2160 -67050 215
1879876 -2160 -67050 206
1879886 -2160 -67050 211
1879896 -2160 -67050 211
1879906 -2160 -67050 210
1879916 -2160 -67050 216
1879926 -2160 -67050 203
1879936 -2160 -67050 209
1879946 -2160 -67050 215
1879956 -2160 -67050 210
1879966 -2160 -67050 214
1879976 -2160 -67050 212
1879986 -2160 -67050 213
1879996 -2160 -67050 206
1880006 -2160 -67050 212
1880016 -2160 -67050 212
1880026 -2160 -67050 211
1880036 -2160 -67050 205
1880046 -2160 -67050 216
1880056 -2160 -67050 210
1880066 -2160 -67050 210
1880076 -2160 -67050 213
1880086 -2160 -67050 215
1880096 -2160 -67050 209
1880106 -2160 -67050 212
1880116 -2160 -67050 215
1880126 -2160 -67050 208
1880136 -2160 -67050 214
1880146 -2160 -67050 209
1880156 -2160 -67050 218
1880166 -2160 -67050 213
1880176 -2160 -67050 212
1880186 -2160 -67050 210
1880196 -2160 -67050 212
1880207 -2160 -67050 208
1880217 -2160 -67050 213
1880227 -2160 -67050 217
1880237 -2160 -67050 208
1880247 -2160 -67050 211
1880257 -2160 -67050 212
1880267 -2160 -67050 213
1880276 -2160 -67050 211
1880286 -2160 -67050 213
1880296 -2160 -67050 210
1880306 -2160 -67050 209
1880316 -2160 -67050 215
1880326 -2160 -67050 203
1880336 -2160 -67050 211
1880346 -2160 -67050 213
1880356 -2160 -67050 211
1880366 -2160 -67050 216
1880376 -2160 -67050 212
1880386 -2160 -67050 208
1880396 -2160 -67050 221
1880406 -2160 -67050 207
1880416 -2160 -67050 208
1880426 -2160 -67050 215
1880436 -2160 -67050 214
1880446 -2160 -67050 214
1880456 -2160 -67050 216
1880466 -2160 -67050 215
1880476 -2160 -67050 209
1880486 -2160 -67050 213
1880496 -2160 -67050 216
1880506 -2160 -67050 208
1880516 -2160 -67050 204
1880526 -2160 -67050 211
1880536 -2160 -67050 221
1880546 -2160 -67050 212
1880556 -2160 -67050 206
1880566 -2160 -67050 205
1880576 -2160 -67050 215
1880586 -2160 -67050 211
1880596 -2160 -67050 207
1880606 -2160 -67050 211
1880616 -2160 -67050 209
1880626 -2160 -67050 216
1880636 -2160 -67050 208
1880646 -2160 -67050 203
1880656 -2160 -67050 213
1880666 -2160 -67050 213
1880676 -2160 -67050 204
1880686 -2160 -67050 214
1880696 -2160 -67050 209
1880706 -2160 -67050 211
1880716 -2160 -67050 212
1880726 -2160 -67050 205
1880736 -2160 -67050 215
1880746 -2160 -67050 214
1880756 -2160 -67050 212
1880766 -2160 -67050 212
1880776 -2160 -67050 222
1880786 -2160 -67050 209
1880796 -2160 -67050 206
1880806 -2160 -67050 207
1880816 -2160 -67050 208
1880826 -2160 -67050 208
1880836 -2160 -67050 210
1880846 -2160 -67050 214
1880856 -2160 -67050 214
1880866 -2160 -67050 214
1880876 -2160 -67050 201
1880886 -2160 -67050 202
1880896 -2160 -67050 208
1880906 -2160 -67050 201
1880916 -2160 -67050 213
1880926 -2160 -67050 205
1880936 -2160 -67050 213
1880946 -2160 -67050 211
1880956 -2160 -67050 216
1880966 -2160 -67050 208
1880976 -2160 -67050 216
1880986 -2160 -67050 216
1880996 -2160 -67050 218
1881006 -2160 -67050 214
1881016 -2160 -67050 209
1881026 -2160 -67050 212
1881036 -2160 -67050 212
1881046 -2160 -67050 207
1881056 -2160 -67050 210
1881066 -2160 -67050 212
1881076 -2160 -67050 208
1881086 -2160 -67050 211
1881096 -2160 -67050 208
1881106 -2160 -67050 210
1881116 -2160 -67050 203
1881126 -2160 -67050 208
1881136 -2160 -67050 206
1881146 -2160 -67050 207
1881156 -2160 -67050 214
1881166 -2160 -67050 216
1881176 -2160 -67050 210
1881186 -2160 -67050 207
1881196 -2160 -67050 210
1881206 -2160 -67050 209
1881216 -2160 -67050 214
1881226 -2160 -67050 208
1881236 -2160 -67050 207
1881246 -2160 -67050 211
1881256 -2160 -67050 213
1881266 -2160 -67050 214
1881276 -2160 -67050 214
1881286 -2160 -67050 214
1881296 -2160 -67050 210
1881306 -2160 -67050 214
1881316 -2160 -67050 215
1881326 -2160 -67050 212
1881336 -2160 -67050 216
1881346 -2160 -67050 204
1881356 -2160 -67050 209
1881366 -2160 -67050 208
1881376 -2160 -67050 220
1881386 -2160 -67050 212
1881396 -2160 -67050 214
1881406 -2160 -67050 212
1881416 -2160 -67050 208
1881426 -2160 -67050 211
1881436 -2160 -67050 211
1881446 -2160 -67050 209
1881456 -2160 -67050 210
1881466 -2160 -67050 200
1881476 -2160 -67050 212
1881486 -2160 -67050 206
1881496 -2160 -67050 218
1881506 -2160 -67050 208
1881516 -2160 -67050 205
1881526 -2160 -67050 206
1881536 -2160 -67050 212
1881546 -2160 -67050 213
1881556 -2160 -67050 213
1881566 -2160 -67050 207
1881576 -2160 -67050 209
1881586 -2160 -67050 217
1881596 -2160 -67050 215
1881606 -2160 -67050 211
1881616 -2160 -67050 215
1881626 -2160 -67050 212
1881636 -2160 -67050 209
1881646 -2160 -67050 217
1881656 -2160 -67050 210
1881666 -2160 -67050 207
1881676 -2160 -67050 212
1881686 -2160 -67050 212
1881696 -2160 -67050 213
