t right_dis left_dis right_v left_v
1877036 7143 6391 0 0
1877046 7143 6391 0 0
1877056 7143 6391 0 0
1877066 7143 6391 0 0
1877076 7143 6391 0 0
1877086 7143 6391 0 0
1877096 7143 6391 0 0
1877106 7143 6391 0 0
1877116 7143 6391 0 0
1877126 7143 6391 0 0
1877136 7143 6391 0 0
1877146 7143 6391 0 0
1877156 7143 6391 0 0
1877166 7143 6391 0 0
1877176 7143 6391 0 0
1877186 7143 6391 0 0
1877196 7143 6391 0 0
1877206 7143 6391 0 0
1877216 7143 6391 0 0
1877226 7143 6391 0 0
1877236 7143 6391 0 0
1877246 7143 6391 0 0
1877256 7143 6391 0 0
1877266 7143 6391 0 0
1877276 7143 6391 0 0
1877286 7143 6391 0 0
1877296 7143 6391 0 0
1877306 7143 6391 0 0
1877316 7143 6391 0 0
1877326 7143 6391 0 0
1877336 7143 6391 0 0
1877346 7143 6391 0 0
1877356 7143 6391 0 0
1877366 7143 6391 0 0
1877376 7143 6391 0 0
1877386 7143 6391 0 0
1877396 7143 6391 0 0
1877406 7143 6391 0 0
1877416 7143 6391 0 0
1877426 7143 6391 0 0
1877436 7143 6391 0 0
1877446 7143 6391 0 0
1877456 7143 6391 0 0
1877466 7143 6391 0 0
1877476 7143 6391 0 0
1877486 7143 6391 0 0
1877496 7143 6391 0 0
1877506 7143 6391 0 0
1877516 7143 6391 0 0
1877526 7143 6391 0 0
1877536 7143 6391 0 0
1877546 7143 6391 0 0
1877556 7143 6391 0 0
1877566 7143 6391 0 0
1877576 7143 6391 0 0
1877586 7143 6391 0 0
1877596 7143 6391 0 0
1877606 7143 6391 0 0
1877616 7143 6391 0 0
1877626 7143 6391 0 0
1877636 7143 6391 0 0
1877646 7143 6391 0 0
1877656 7143 6391 0 0
1877666 7143 6391 0 0
1877676 7143 6391 0 0
1877686 7143 6391 0 0
1877696 7143 6391 0 0
1877706 7143 6391 0 0
1877716 7143 6391 0 0
1877726 7143 6391 0 0
1877736 7143 6391 0 0
1877746 7143 6391 0 0
1877756 7143 6391 0 0
1877766 7143 6391 0 0
1877776 7143 6391 0 0
1877786 7143 6391 0 0
1877796 7143 6391 0 0
1877806 7143 6391 0 0
1877816 7143 6391 0 0
1877826 7143 6391 0 0
1877836 7143 6391 0 0
1877846 7143 6391 0 0
1877856 7143 6391 0 0
1877866 7143 6391 0 0
1877876 7143 6391 0 0
1877886 7143 6391 0 0
1877896 7143 6391 0 0
1877906 7143 6391 0 0
1877916 7143 6391 0 0
1877926 7143 6391 0 0
1877936 7143 6391 0 0
1877946 7143 6391 0 0
1877956 7143 6391 0 0
1877966 7143 6391 0 0
1877976 7143 6391 0 0
1877986 7143 6391 0 0
1877996 7143 6391 0 0
1878006 7143 6391 0 0
1878016 7143 6391 0 0
1878026 7143 6391 0 0
1878036 7143 6391 0 0
1878046 7143 6391 0 0
1878056 7143 6391 0 0
1878066 7143 6391 0 0
1878076 7143 6391 0 0
1878086 7143 6391 0 0
1878096 7143 6391 0 0
1878106 7143 6391 0 0
1878116 7143 6391 0 0
1878126 7143 6391 0 0
1878136 7143 6391 0 0
1878146 7143 6391 0 0
1878157 7143 6391 0 0
1878167 7143 6391 0 0
1878177 7143 6391 0 0
1878187 7143 6391 0 0
1878197 7143 6391 0 0
1878207 7143 6391 0 0
1878217 7143 6391 0 0
1878226 7143 6391 0 0
1878236 7143 6391 0 0
1878246 7143 6391 0 0
1878256 7143 6391 0 0
1878266 7143 6391 0 0
1878276 7143 6391 0 0
1878286 7143 6391 0 0
1878296 7143 6391 0 0
1878306 7143 6391 0 0
1878316 7143 6391 0 0
1878326 7143 6391 0 0
1878336 7143 6391 0 0
1878346 7143 6391 0 0
1878356 7143 6391 0 0
1878366 7143 6391 0 0
1878376 7143 6391 0 0
1878386 7143 6391 0 0
1878396 7143 6391 0 0
1878406 7143 6391 0 0
1878416 7143 6391 0 0
1878426 7143 6391 0 0
1878436 7143 6391 0 0
1878446 7143 6391 0 0
1878456 7143 6391 0 0
1878466 7143 6391 0 0
1878476 7143 6391 0 0
1878486 7143 6391 0 0
1878496 7143 6391 0 0
1878506 7143 6391 0 0
1878516 7143 6391 0 0
1878526 7143 6391 0 0
1878536 7143 6391 0 0
1878546 7143 6391 0 0
1878556 7143 6391 0 0
1878566 7143 6391 0 0
1878576 7143 6391 0 0
1878586 7143 6391 0 0
1878596 7143 6391 0 0
1878606 7143 6391 0 0
1878616 7143 6391 0 0
1878626 7143 6391 0 0
1878636 7143 6391 0 0
1878646 7143 6391 0 0
1878656 7143 6391 0 0
1878666 7143 6391 0 0
1878676 7143 6391 0 0
1878686 7143 6391 0 0
1878696 7143 6391 0 0
1878706 7143 6391 0 0
1878716 7143 6391 0 0
1878726 7143 6391 0 0
1878736 7143 6391 0 0
1878746 7143 6391 0 0
1878756 7143 6391 0 0
1878766 7143 6391 0 0
1878776 7143 6391 0 0
1878786 7143 6391 0 0
1878796 7143 6391 0 0
1878806 7143 6391 0 0
1878816 7143 6391 0 0
1878826 7143 6391 0 0
1878836 7143 6391 0 0
1878846 7143 6391 0 0
1878856 7143 6391 0 0
1878866 7143 6391 0 0
1878876 7143 6391 0 0
1878886 7143 6391 0 0
1878896 7143 6391 0 0
1878906 7143 6391 0 0
1878916 7143 6391 0 0
1878926 7143 6391 0 0
1878936 7143 6391 0 0
1878946 7143 6391 0 0
1878956 7143 6391 0 0
1878966 7143 6391 0 0
1878976 7143 6391 0 0
1878986 7143 6391 0 0
1878996 7143 6391 0 0
1879006 7143 6391 0 0
1879016 7143 6391 0 0
1879026 7143 6391 0 0
1879036 7143 6391 0 0
1879046 7143 6391 0 0
1879056 7143 6391 0 0
1879066 7143 6391 0 0
1879076 7143 6391 0 0
1879086 7143 6391 0 0
1879096 7143 6391 0 0
1879106 7143 6391 0 0
1879116 7143 6391 0 0
1879126 7143 6391 0 0
1879136 7143 6391 0 0
1879146 7143 6391 0 0
1879156 7143 6391 0 0
1879166 7143 6391 0 0
1879176 7143 6391 0 0
1879186 7143 6391 0 0
1879196 7143 6391 0 0
1879206 7143 6391 0 0
1879216 7143 6391 0 0
1879226 7143 6391 0 0
1879236 7143 6391 0 0
1879246 7143 6391 0 0
1879256 7143 6391 0 0
1879266 7143 6391 0 0
1879276 7143 6391 0 0
1879286 7143 6391 0 0
1879296 7143 6391 0 0
1879306 7143 6391 0 0
1879316 7143 6391 0 0
1879326 7143 6391 0 0
1879336 7143 6391 0 0
1879346 7143 6391 0 0
1879356 7143 6391 0 0
1879366 7143 6391 0 0
1879376 7143 6391 0 0
1879386 7143 6391 0 0
1879396 7143 6391 0 0
1879406 7143 6391 0 0
1879416 7143 6391 0 0
1879426 7143 6391 0 0
1879436 7143 6391 0 0
1879446 7143 6391 0 0
1879456 7143 6391 0 0
1879466 7143 6391 0 0
1879476 7143 6391 0 0
1879486 7143 6391 0 0
1879496 7143 6391 0 0
1879506 7143 6391 0 0
1879516 7143 6391 0 0
1879526 7143 6391 0 0
1879536 7143 6391 0 0
1879546 7143 6391 0 0
1879556 7143 6391 0 0
1879566 7143 6391 0 0
1879576 7143 6391 0 0
1879586 7143 6391 0 0
1879596 7143 6391 0 0
1879606 7143 6391 0 0
1879616 7143 6391 0 0
1879626 7143 6391 0 0
1879636 7143 6391 0 0
1879646 7143 6391 0 0
1879656 7143 6391 0 0
1879666 7143 6391 0 0
1879676 7143 6391 0 0
1879686 7143 6391 0 0
1879696 7143 6391 0 0
1879706 7143 6391 0 0
1879716 7143 6391 0 0
1879726 7143 6391 0 0
1879736 7143 6391 0 0
1879746 7143 6391 0 0
1879756 7143 6391 0 0
1879766 7143 6391 0 0
1879776 7143 6391 0 0
1879786 7143 6391 0 0
1879796 7143 6391 0 0
1879806 7143 6391 0 0
1879816 7143 6391 0 0
1879826 7143 6391 0 0
1879836 7143 6391 0 0
1879846 7143 6391 0 0
1879856 7143 6391 0 0
1879866 7143 6391 0 0
1879876 7143 6391 0 0
1879886 7143 6391 0 0
1879896 7143 6391 0 0
1879906 7143 6391 0 0
1879916 7143 6391 0 0
1879926 7143 6391 0 0
1879936 7143 6391 0 0
1879946 7143 6391 0 0
1879956 7143 6391 0 0
1879966 7143 6391 0 0
1879976 7143 6391 0 0
1879986 7143 6391 0 0
1879996 7143 6391 0 0
1880006 7143 6391 0 0
1880016 7143 6391 0 0
1880026 7143 6391 0 0
1880036 7143 6391 0 0
1880046 7143 6391 0 0
1880056 7143 6391 0 0
