t_imu ax ay az gx gy gz
15.106 -0.0368109 0.0475848 9.86351 0.0610352 0.076294 0.190735
15.116 -0.0413 0.0529717 9.87159 0.038147 -0.038147 0.0839234
15.126 -0.0637456 0.0242413 9.84825 -0.106812 0.0686646 0.038147
15.136 -0.0547674 0.0233435 9.86261 0.076294 0.0228882 0.114441
15.146 -0.0646434 0.0242413 9.86172 -0.038147 0.0610352 0.106812
15.156 -0.0287304 0.00448913 9.86621 0.0839234 -0.114441 0.0839234
15.166 -0.0538695 0.056563 9.85543 -0.0457764 0.0228882 0.0610352
15.176 -0.0547674 0.0583587 9.8689 0.0686646 0.0152588 0.152588
15.186 -0.0439935 0.0529717 9.86621 0.038147 -0.282288 0.205994
15.196 -0.0430956 0.0287304 9.88506 -0.0228882 -0.0915528 0.183106
15.206 -0.0691326 0.0511761 9.87698 0.0991822 -0.0534058 0.0915528
15.216 -0.0538695 0.0691326 9.85902 0.0610352 0.106812 0.0686646
15.226 -0.0601543 0.0547674 9.90032 0.0839234 0.0610352 0.152588
15.236 -0.0466869 0.0430956 9.8671 0.0991822 -0.0076294 0.12207
15.246 -0.0556652 0.0404022 9.86261 -0.0228882 0.0686646 0.175476
15.256 -0.0556652 0.0161609 9.87518 0.038147 -0.0457764 0.137329
15.266 -0.0502782 0.0386065 9.87518 -0.0991822 -0.205994 0.038147
15.276 -0.0682347 0.0628478 9.87429 -0.0076294 -0.267029 0.0610352
15.286 -0.077213 0.0574608 9.868 0.0839234 -0.0076294 0.0686646
15.296 -0.0520739 0.0475848 9.85274 -0.0839234 -0.0152588 0.0228882
15.306 -0.0502782 0.0475848 9.84645 0.0228882 -0.198364 -0.0076294
15.316 -0.0673369 0.0475848 9.85723 0 -0.106812 0.0534058
15.326 -0.0341174 0.0538695 9.87878 0.0839234 -0.0305176 0.0991822
15.336 -0.0493804 0.0386065 9.8671 0.076294 0.076294 0.0610352
15.346 -0.0556652 0.0368109 9.88506 0.0686646 -0.114441 0.0534058
15.356 -0.0655413 0.0610521 9.8671 0.1297 -0.0839234 0.0152588
15.366 -0.0305261 0.0430956 9.85902 0.0610352 -0.0610352 0.0839234
15.377 -0.0466869 0.0305261 9.86082 0.0686646 0.0152588 0.190735
15.387 -0.0484826 0.0341174 9.85633 -0.0076294 -0.137329 0.160217
15.397 -0.0736217 0.06195 9.8671 0.0228882 -0.0305176 0.0991822
15.407 -0.0691326 0.0448913 9.86441 0.0228882 0.0228882 0.144959
