opt_t p_x p_y wall_0 wall_1 img_quality
484.106 1.08825 -30.804 4918 4922 238
484.116 1.08825 -30.804 4918 4923 238
484.126 1.08825 -30.804 4920 4925 235
484.136 1.08825 -30.804 4922 4926 239
484.146 1.08825 -30.804 4919 4924 236
484.156 1.08825 -30.804 4919 4923 232
484.166 1.08825 -30.804 4920 4921 227
484.176 1.08825 -30.804 4920 4922 237
484.186 1.08825 -30.804 4917 4922 237
484.196 1.08825 -30.804 4921 4922 235
484.206 1.08825 -30.804 4923 4925 239
484.216 1.08825 -30.804 4923 4926 236
484.226 1.08825 -30.804 4919 4923 239
484.236 1.08825 -30.804 4918 4922 239
484.246 1.08825 -30.804 4920 4922 238
484.256 1.08825 -30.804 4921 4923 238
484.266 1.08825 -30.804 4923 4923 236
484.276 1.08825 -30.804 4920 4922 234
484.286 1.08825 -30.804 4919 4922 241
484.296 1.08825 -30.804 4918 4923 233
484.306 1.08825 -30.804 4918 4923 240
484.316 1.08825 -30.804 4918 4922 246
484.326 1.08825 -30.804 4920 4923 237
484.336 1.08825 -30.804 4920 4922 236
484.346 1.08825 -30.804 4921 4922 240
484.356 1.08825 -30.804 4925 4925 234
484.366 1.08825 -30.804 4918 4922 237
484.376 1.08825 -30.804 4917 4921 241
484.386 1.08825 -30.804 4919 4925 238
484.396 1.08825 -30.804 4920 4924 241
484.406 1.08825 -30.804 4922 4921 233
484.416 1.08825 -30.804 4917 4920 235
484.426 1.08825 -30.804 4918 4923 239
484.436 1.08825 -30.804 4918 4924 235
484.446 1.08825 -30.804 4921 4925 235
484.456 1.08825 -30.804 4921 4924 237
484.466 1.08825 -30.804 4916 4921 237
484.476 1.08825 -30.804 4919 4923 238
484.486 1.08825 -30.804 4925 4923 237
484.496 1.08825 -30.804 4920 4921 236
484.506 1.08825 -30.804 4917 4922 238
484.516 1.08825 -30.804 4916 4922 231
484.526 1.08825 -30.804 4919 4923 242
484.536 1.08825 -30.804 4920 4922 236
484.546 1.08825 -30.804 4918 4923 237
484.556 1.08825 -30.804 4921 4924 236
484.566 1.08825 -30.804 4918 4921 234
484.576 1.08825 -30.804 4916 4923 236
484.586 1.08825 -30.804 4919 4925 234
484.596 1.08825 -30.804 4924 4923 235
484.607 1.08825 -30.804 4924 4924 233
484.617 1.08825 -30.804 4922 4925 244
484.627 1.08825 -30.804 4916 4924 239
484.637 1.08825 -30.804 4918 4924 233
484.647 1.08825 -30.804 4921 4922 239
484.657 1.08825 -30.804 4920 4923 241
484.666 1.08825 -30.804 4918 4924 236
484.676 1.08825 -30.804 4921 4924 239
484.686 1.08825 -30.804 4923 4924 235
484.696 1.08825 -30.804 4922 4922 235
484.706 1.08825 -30.804 4922 4922 236
484.716 1.08825 -30.804 4924 4922 245
484.726 1.08825 -30.804 4922 4921 238
484.736 1.08825 -30.804 4921 4922 239
484.746 1.08825 -30.804 4919 4922 234
484.756 1.08825 -30.804 4915 4923 239
484.766 1.08825 -30.804 4917 4923 239
484.776 1.08825 -30.804 4920 4921 235
484.786 1.08825 -30.804 4924 4923 231
484.796 1.08825 -30.804 4925 4925 234
484.806 1.08825 -30.804 4921 4923 234
484.816 1.08825 -30.804 4917 4922 238
484.826 1.08825 -30.804 4920 4923 230
